"well","time","value"
"A1",0,0.0551
"A1",0.5,0.0566
"A1",1,0.0583
"A1",1.5,0.0608
"A1",2,0.0721
"A1",2.5,0.0818
"A1",3,0.0912
"A1",3.5,0.1134
"A1",4,0.1278
"A1",4.5,0.1588
"A1",5,0.1904
"A1",5.5,0.2404
"A1",6,0.2885
"A1",6.5,0.3529
"A1",7,0.4214
"A1",7.5,0.4968
"A1",8,0.5749
"A1",8.5,0.6552
"A1",9,0.7263
"A1",9.5,0.7985
"A1",10,0.8585
"A1",10.5,0.916
"A1",11,0.9585
"A1",11.5,0.9898
"A1",12,1.0172
"A1",12.5,1.0369
"A1",13,1.0564
"A1",13.5,1.0687
"A1",14,1.0741
"A1",14.5,1.0838
"A1",15,1.0945
"A1",15.5,1.0936
"A1",16,1.0939
"A1",16.5,1.1008
"A1",17,1.0982
"A1",17.5,1.0985
"A1",18,1.1021
"A1",18.5,1.1043
"A1",19,1.1026
"A1",19.5,1.0962
"A1",20,1.1015
"A1",20.5,1.1052
"A1",21,1.1048
"A1",21.5,1.1011
"A1",22,1.1033
"A1",22.5,1.0957
"A1",23,1.1085
"A1",23.5,1.1063
"A1",24,1.1048
"A2",0,0.0517
"A2",0.5,0.0518
"A2",1,0.0618
"A2",1.5,0.0646
"A2",2,0.0702
"A2",2.5,0.0799
"A2",3,0.0932
"A2",3.5,0.1077
"A2",4,0.1207
"A2",4.5,0.1558
"A2",5,0.188
"A2",5.5,0.2313
"A2",6,0.2829
"A2",6.5,0.3444
"A2",7,0.4064
"A2",7.5,0.4851
"A2",8,0.5594
"A2",8.5,0.6381
"A2",9,0.7113
"A2",9.5,0.7781
"A2",10,0.8331
"A2",10.5,0.8861
"A2",11,0.9298
"A2",11.5,0.9596
"A2",12,0.9874
"A2",12.5,1.0111
"A2",13,1.0277
"A2",13.5,1.0391
"A2",14,1.0449
"A2",14.5,1.0514
"A2",15,1.0633
"A2",15.5,1.064
"A2",16,1.0665
"A2",16.5,1.0681
"A2",17,1.067
"A2",17.5,1.0728
"A2",18,1.0715
"A2",18.5,1.0723
"A2",19,1.0756
"A2",19.5,1.0757
"A2",20,1.0774
"A2",20.5,1.0729
"A2",21,1.0759
"A2",21.5,1.0779
"A2",22,1.0716
"A2",22.5,1.0723
"A2",23,1.0716
"A2",23.5,1.0708
"A2",24,1.0748
"A3",0,0.0526
"A3",0.5,0.0541
"A3",1,0.0576
"A3",1.5,0.0629
"A3",2,0.0702
"A3",2.5,0.078
"A3",3,0.093
"A3",3.5,0.1044
"A3",4,0.1319
"A3",4.5,0.1555
"A3",5,0.1939
"A3",5.5,0.2307
"A3",6,0.2889
"A3",6.5,0.3468
"A3",7,0.4104
"A3",7.5,0.4854
"A3",8,0.5624
"A3",8.5,0.6373
"A3",9,0.7193
"A3",9.5,0.7882
"A3",10,0.845
"A3",10.5,0.8971
"A3",11,0.9371
"A3",11.5,0.9732
"A3",12,0.9978
"A3",12.5,1.0255
"A3",13,1.0355
"A3",13.5,1.0503
"A3",14,1.0617
"A3",14.5,1.0668
"A3",15,1.0726
"A3",15.5,1.0729
"A3",16,1.0829
"A3",16.5,1.0782
"A3",17,1.0805
"A3",17.5,1.0869
"A3",18,1.0867
"A3",18.5,1.0826
"A3",19,1.0848
"A3",19.5,1.0856
"A3",20,1.0857
"A3",20.5,1.0825
"A3",21,1.0923
"A3",21.5,1.0846
"A3",22,1.0818
"A3",22.5,1.0823
"A3",23,1.0888
"A3",23.5,1.0865
"A3",24,1.0838
"A4",0,0.0482
"A4",0.5,0.0537
"A4",1,0.0538
"A4",1.5,0.0659
"A4",2,0.0692
"A4",2.5,0.078
"A4",3,0.0882
"A4",3.5,0.1074
"A4",4,0.1262
"A4",4.5,0.1536
"A4",5,0.192
"A4",5.5,0.23
"A4",6,0.2783
"A4",6.5,0.3408
"A4",7,0.4067
"A4",7.5,0.4825
"A4",8,0.5614
"A4",8.5,0.6319
"A4",9,0.709
"A4",9.5,0.7754
"A4",10,0.8368
"A4",10.5,0.8844
"A4",11,0.929
"A4",11.5,0.9561
"A4",12,0.9916
"A4",12.5,1.0103
"A4",13,1.0237
"A4",13.5,1.0327
"A4",14,1.0472
"A4",14.5,1.0538
"A4",15,1.0578
"A4",15.5,1.0621
"A4",16,1.0631
"A4",16.5,1.0677
"A4",17,1.0691
"A4",17.5,1.0689
"A4",18,1.067
"A4",18.5,1.0729
"A4",19,1.073
"A4",19.5,1.0698
"A4",20,1.0682
"A4",20.5,1.073
"A4",21,1.0717
"A4",21.5,1.0733
"A4",22,1.0695
"A4",22.5,1.0704
"A4",23,1.0756
"A4",23.5,1.0739
"A4",24,1.0744
"A5",0,0.0546
"A5",0.5,0.0506
"A5",1,0.0584
"A5",1.5,0.0632
"A5",2,0.0677
"A5",2.5,0.0789
"A5",3,0.0924
"A5",3.5,0.1102
"A5",4,0.1328
"A5",4.5,0.1563
"A5",5,0.1959
"A5",5.5,0.2333
"A5",6,0.2895
"A5",6.5,0.3533
"A5",7,0.417
"A5",7.5,0.4957
"A5",8,0.5763
"A5",8.5,0.656
"A5",9,0.7282
"A5",9.5,0.796
"A5",10,0.861
"A5",10.5,0.9151
"A5",11,0.9621
"A5",11.5,0.9962
"A5",12,1.021
"A5",12.5,1.045
"A5",13,1.0554
"A5",13.5,1.0713
"A5",14,1.0826
"A5",14.5,1.0875
"A5",15,1.0953
"A5",15.5,1.1008
"A5",16,1.0976
"A5",16.5,1.0998
"A5",17,1.1061
"A5",17.5,1.1041
"A5",18,1.1101
"A5",18.5,1.1004
"A5",19,1.1127
"A5",19.5,1.1086
"A5",20,1.1125
"A5",20.5,1.1114
"A5",21,1.11
"A5",21.5,1.1068
"A5",22,1.1094
"A5",22.5,1.108
"A5",23,1.1056
"A5",23.5,1.1098
"A5",24,1.1093
