"well","strain","medium","bio_rep","tech_rep"
"A1","strain_1","LB",1,1
"A2","strain_1","LB",1,2
"A3","strain_2","LB",1,1
"A4","strain_2","LB",1,2
"A5","strain_3","LB",1,1
"A6","strain_3","LB",1,2
"A7","strain_4","LB",1,1
"A8","strain_4","LB",1,2
"A9","strain_5","LB",1,1
"A10","strain_5","LB",1,2
"A11","strain_6","LB",1,1
"A12","strain_6","LB",1,2
"B1","strain_1","LB",2,1
"B2","strain_1","LB",2,2
"B3","strain_2","LB",2,1
"B4","strain_2","LB",2,2
"B5","strain_3","LB",2,1
"B6","strain_3","LB",2,2
"B7","strain_4","LB",2,1
"B8","strain_4","LB",2,2
"B9","strain_5","LB",2,1
"B10","strain_5","LB",2,2
"B11","strain_6","LB",2,1
"B12","strain_6","LB",2,2
"C1","strain_1","LB",3,1
"C2","strain_1","LB",3,2
"C3","strain_2","LB",3,1
"C4","strain_2","LB",3,2
"C5","strain_3","LB",3,1
"C6","strain_3","LB",3,2
"C7","strain_4","LB",3,1
"C8","strain_4","LB",3,2
"C9","strain_5","LB",3,1
"C10","strain_5","LB",3,2
"C11","strain_6","LB",3,1
"C12","strain_6","LB",3,2
"D1","strain_1","LB",4,1
"D2","strain_1","LB",4,2
"D3","strain_2","LB",4,1
"D4","strain_2","LB",4,2
"D5","strain_3","LB",4,1
"D6","strain_3","LB",4,2
"D7","strain_4","LB",4,1
"D8","strain_4","LB",4,2
"D9","strain_5","LB",4,1
"D10","strain_5","LB",4,2
"D11","strain_6","LB",4,1
"D12","strain_6","LB",4,2
"E1","strain_1","M9",1,1
"E2","strain_1","M9",1,2
"E3","strain_2","M9",1,1
"E4","strain_2","M9",1,2
"E5","strain_3","M9",1,1
"E6","strain_3","M9",1,2
"E7","strain_4","M9",1,1
"E8","strain_4","M9",1,2
"E9","strain_5","M9",1,1
"E10","strain_5","M9",1,2
"E11","strain_6","M9",1,1
"E12","strain_6","M9",1,2
"F1","strain_1","M9",2,1
"F2","strain_1","M9",2,2
"F3","strain_2","M9",2,1
"F4","strain_2","M9",2,2
"F5","strain_3","M9",2,1
"F6","strain_3","M9",2,2
"F7","strain_4","M9",2,1
"F8","strain_4","M9",2,2
"F9","strain_5","M9",2,1
"F10","strain_5","M9",2,2
"F11","strain_6","M9",2,1
"F12","strain_6","M9",2,2
"G1","strain_1","M9",3,1
"G2","strain_1","M9",3,2
"G3","strain_2","M9",3,1
"G4","strain_2","M9",3,2
"G5","strain_3","M9",3,1
"G6","strain_3","M9",3,2
"G7","strain_4","M9",3,1
"G8","strain_4","M9",3,2
"G9","strain_5","M9",3,1
"G10","strain_5","M9",3,2
"G11","strain_6","M9",3,1
"G12","strain_6","M9",3,2
"H1","strain_1","M9",4,1
"H2","strain_1","M9",4,2
"H3","strain_2","M9",4,1
"H4","strain_2","M9",4,2
"H5","strain_3","M9",4,1
"H6","strain_3","M9",4,2
"H7","strain_4","M9",4,1
"H8","strain_4","M9",4,2
"H9","strain_5","M9",4,1
"H10","strain_5","M9",4,2
"H11","strain_6","M9",4,1
"H12","strain_6","M9",4,2
