Application: Tecan i-control,
Device: infinite 200Pro,

Label1,
Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
Time [s],0,1800,3600,5400,7200,9000,10800,12600,14400,16200,18000,19800,21600,23400,25200,27000,28800,30600,32400,34200,36000,37800,39600,41400,43200,45000,46800,48600,50400,52200,54000,55800,57600,59400,61200,63000,64800,66600,68400,70200,72000,73800,75600,77400,79200,81000,82800,84600,86400
Temp. [°C],30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
A1,0.0551,0.0566,0.0583,0.0608,0.0721,0.0818,0.0912,0.1134,0.1278,0.1588,0.1904,0.2404,0.2885,0.3529,0.4214,0.4968,0.5749,0.6552,0.7263,0.7985,0.8585,0.916,0.9585,0.9898,1.0172,1.0369,1.0564,1.0687,1.0741,1.0838,1.0945,1.0936,1.0939,1.1008,1.0982,1.0985,1.1021,1.1043,1.1026,1.0962,1.1015,1.1052,1.1048,1.1011,1.1033,1.0957,1.1085,1.1063,1.1048
A2,0.0517,0.0518,0.0618,0.0646,0.0702,0.0799,0.0932,0.1077,0.1207,0.1558,0.188,0.2313,0.2829,0.3444,0.4064,0.4851,0.5594,0.6381,0.7113,0.7781,0.8331,0.8861,0.9298,0.9596,0.9874,1.0111,1.0277,1.0391,1.0449,1.0514,1.0633,1.064,1.0665,1.0681,1.067,1.0728,1.0715,1.0723,1.0756,1.0757,1.0774,1.0729,1.0759,1.0779,1.0716,1.0723,1.0716,1.0708,1.0748
A3,0.0526,0.0541,0.0576,0.0629,0.0702,0.078,0.093,0.1044,0.1319,0.1555,0.1939,0.2307,0.2889,0.3468,0.4104,0.4854,0.5624,0.6373,0.7193,0.7882,0.845,0.8971,0.9371,0.9732,0.9978,1.0255,1.0355,1.0503,1.0617,1.0668,1.0726,1.0729,1.0829,1.0782,1.0805,1.0869,1.0867,1.0826,1.0848,1.0856,1.0857,1.0825,1.0923,1.0846,1.0818,1.0823,1.0888,1.0865,1.0838
A4,0.0482,0.0537,0.0538,0.0659,0.0692,0.078,0.0882,0.1074,0.1262,0.1536,0.192,0.23,0.2783,0.3408,0.4067,0.4825,0.5614,0.6319,0.709,0.7754,0.8368,0.8844,0.929,0.9561,0.9916,1.0103,1.0237,1.0327,1.0472,1.0538,1.0578,1.0621,1.0631,1.0677,1.0691,1.0689,1.067,1.0729,1.073,1.0698,1.0682,1.073,1.0717,1.0733,1.0695,1.0704,1.0756,1.0739,1.0744
A5,0.0546,0.0506,0.0584,0.0632,0.0677,0.0789,0.0924,0.1102,0.1328,0.1563,0.1959,0.2333,0.2895,0.3533,0.417,0.4957,0.5763,0.656,0.7282,0.796,0.861,0.9151,0.9621,0.9962,1.021,1.045,1.0554,1.0713,1.0826,1.0875,1.0953,1.1008,1.0976,1.0998,1.1061,1.1041,1.1101,1.1004,1.1127,1.1086,1.1125,1.1114,1.11,1.1068,1.1094,1.108,1.1056,1.1098,1.1093
A6,0.0524,0.0509,0.0543,0.0622,0.0657,0.0781,0.0927,0.1021,0.1228,0.1504,0.18,0.2217,0.2734,0.3305,0.3935,0.4581,0.5362,0.6126,0.6823,0.7442,0.7947,0.8502,0.8916,0.9226,0.9484,0.9691,0.9823,0.9984,1.0051,1.0074,1.0191,1.0224,1.0242,1.02,1.0243,1.0285,1.0279,1.0293,1.0351,1.0271,1.0241,1.0303,1.028,1.031,1.0279,1.0357,1.0298,1.0289,1.0297
A7,0.051,0.053,0.0578,0.0619,0.0691,0.0798,0.0899,0.1088,0.1301,0.1562,0.1952,0.2322,0.2847,0.3469,0.4166,0.4912,0.5676,0.6462,0.7194,0.7881,0.8518,0.9021,0.946,0.976,1.0087,1.0288,1.0429,1.0599,1.0701,1.0742,1.078,1.0789,1.0839,1.0906,1.0913,1.092,1.0906,1.0903,1.0942,1.092,1.0901,1.0916,1.0924,1.0964,1.0978,1.0959,1.0906,1.0939,1.0907
A8,0.0468,0.0543,0.0615,0.0653,0.0684,0.0819,0.0903,0.1078,0.1333,0.1568,0.1943,0.2342,0.2827,0.3453,0.4135,0.4902,0.5691,0.6481,0.723,0.7973,0.8497,0.9039,0.9487,0.9865,1.0099,1.0341,1.0432,1.0636,1.0676,1.0758,1.079,1.0862,1.0934,1.0972,1.0899,1.0951,1.0984,1.095,1.0954,1.0956,1.0982,1.1004,1.0987,1.0979,1.0964,1.0985,1.0959,1.0966,1.1001
